Algorithm: Betweenness Centrality
Vertex Centrality
0 153.34
1 142.17
2 36.53
3 146.01
4 296.10
5 97.72
6 739.83
7 274.80
8 154.35
9 118.01
10 81.49
11 197.77
12 384.15
13 87.78
14 219.72
15 512.06
16 110.55
17 65.46
18 515.28
19 92.76
20 497.04
21 119.78
22 167.74
23 98.52
24 370.08
25 55.75
26 612.52
27 134.77
28 85.38
29 392.34
30 136.18
31 164.21
32 407.25
33 304.04
34 451.95
35 271.82
36 31.75
37 293.83
38 308.17
39 223.71
40 32.72
41 132.81
42 270.74
43 367.88
44 266.59
45 95.04
46 81.49
47 98.12
48 175.21
49 328.77
50 226.78
51 946.47
52 284.00
53 114.30
54 91.97
55 340.84
56 64.92
57 124.21
58 603.00
59 182.70
60 378.47
61 365.03
62 47.59
63 170.16
64 291.33
65 150.42
66 50.05
67 376.59
68 202.77
69 350.93
70 160.23
71 255.24
72 324.52
73 47.89
74 365.32
75 145.58
76 358.58
77 381.92
78 55.40
79 390.78
80 109.50
81 243.24
82 553.40
83 392.47
84 281.77
85 143.99
86 267.70
87 159.23
88 467.59
89 315.13
90 376.92
91 527.17
92 177.46
93 348.11
94 62.24
95 85.26
96 390.34
97 212.02
98 354.59
99 125.81
Execution time: 37.52 ms
